,tgt_0,tgt_1,tgt_2,tgt_3,tgt_4,tgt_5,tgt_6,tgt_7,tgt_8,tgt_9,tgt_10,tgt_11,tgt_12,tgt_13,tgt_14
src_0,0.049537006091873725,0.011181446065296538,0.035410667568158534,0.0020474381830719885,0.34300622625963256,0.0020599963173172056,0.00013405766927053936,0.006919240237470777,0.06370170630085872,0.01182082221426984,0.042271482843993534,0.007310848262952569,0.023676599696972733,0.23788044174176565,0.16304202054709524
src_1,0.058335156649217394,0.08142030634657697,0.037513006985978516,0.12778703014780188,0.0208331818481025,0.13332768996064154,0.1224441459209063,0.019054343972590614,0.04786079509404373,0.040442460653698685,0.011577048084625018,0.010290157982217198,0.16178809116863285,0.035081375647262165,0.09224520953770474
src_2,0.03671465545342927,0.0761091932541419,0.04140770400299393,0.1321202955752464,0.009541156979487698,0.07731319765545454,0.126700951948817,0.023027301508043715,0.13966560114777457,0.055434205283955366,0.040252887241680704,0.010331376921654136,0.09615886706253182,0.07627389398354639,0.05894871198124245
src_3,0.041277937515890824,0.07253744450785685,0.07392435545939759,0.11076279972747652,0.014228919526381577,0.07013589499690538,0.08498433246175827,0.06735515250522485,0.09548677544271482,0.07383348240190968,0.0420652710890835,0.0695586688750762,0.08332820670804472,0.04614449435408226,0.054376264428197
src_4,0.0930933156991404,0.08612801399180868,0.013996379310401243,0.10361376919643797,0.014037473236251687,0.02935619292099132,0.03180818797940065,0.15500584610587967,0.03100318106510133,0.13251548402069258,0.0017478802996368926,0.1304838820127862,0.03516370547332206,0.029420474519873296,0.11262621416827608
src_5,0.0006619537649027887,0.024195390891478763,0.07812267044973002,0.0009108566195347457,0.23749497702989494,0.0032791030795160034,0.00044398837822133525,0.012790517387945307,0.006311402584344899,0.0036697332812743195,0.0694908384246921,0.006928445925228259,0.00044187145276070283,0.5081891350033797,0.047069115727096
src_6,0.033161652953186134,0.04840916650580568,0.09589527210674668,0.07756536304468367,0.018297564615367263,0.01103868199712052,0.020644615534417887,0.1170537504665904,0.17957001473086448,0.15673435320492804,0.0005858144800984658,0.05697007168543119,0.007644331768830071,0.027074450536946456,0.14935489636898305
src_7,0.03096160567298479,0.10240178175217751,0.030547876384981507,0.15466184433107236,0.006592478974245563,0.08931019399127824,0.150774520058108,0.023491293937550606,0.10558144957796545,0.06018386935363707,0.0673338360176686,0.007615289817265377,0.07272394330351264,0.03689773962500628,0.06092227720254613
src_8,0.00555316701252573,0.11216272448711825,0.09976064560244621,0.03924881771472537,0.028340288482432245,0.009232971624909441,0.025833512614826006,0.16420385249142844,0.14137111160058816,0.12110891503824542,0.01846445108790852,0.14544259897911138,0.008169170290219033,0.06007738639160435,0.02103038658191133
src_9,0.045346473418179725,0.02112657333713853,0.24336491995234222,0.018410811207114918,0.0409584802001596,0.014494175119279366,0.018204421356268492,0.026194155865304897,0.30970909533611424,0.04281606712324267,0.021991360370084437,0.003804661481701967,0.006610355199561217,0.1445833544350125,0.04238509559849531
src_10,0.0237043663435502,0.1290262376987769,0.034079681577536707,0.15133129819021537,0.01569047832158779,0.07876561321397062,0.1335214581311212,0.024593207421679492,0.06929995019614087,0.06232880292234248,0.13287781010200495,0.013531187712499542,0.03560014595312971,0.029170573163082907,0.06647918905236125
src_11,0.024226440531148634,0.08633645322840268,0.029089955546394104,0.12037955079141494,0.04297207601981549,0.045372474517461125,0.10589639359944514,0.016767202640881565,0.16948286726549894,0.04777624046343639,0.1882708183044765,0.05240366645623551,0.009270195604075927,0.042239036117206454,0.019516628914106497
src_12,0.07128558092803508,0.12227083974629581,0.07377056326585073,0.09273598637637495,0.0017356850868003428,0.10688985298873059,0.11071700592270163,0.027550061682670195,0.10543028227656795,0.07807821878245612,0.003429696017749695,0.009292202126749506,0.1579167247255743,0.008051300213901928,0.03084599985954115
src_13,0.017635965232213703,0.06490859913905579,0.006640628193272002,0.007274931005042695,0.12849002774777424,7.332556727001522e-05,0.00011197459497095825,0.015175797680151799,0.23017521856737655,0.06537654820247397,0.05688138176199663,0.09664501195195768,0.0011905466986251011,0.2615699054348485,0.04785013822297031
src_14,0.003144000658978857,0.03432551629576114,0.24823729655000568,0.01910171919714566,0.2545191515732941,1.876077183339809e-06,7.118006481156035e-05,0.05102518790148892,0.06303770484169631,0.012953953580697414,0.012347618732042476,0.005553774632909012,5.886030354508854e-05,0.2185551499218183,0.07706700966862241
